"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.1.1","239.255.255.250","SSDP","442","NOTIFY * HTTP/1.1 "
"2","1.117940100","192.168.1.100","37.187.75.190","TCP","55","57380  >  22067 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"3","1.167098100","37.187.75.190","192.168.1.100","TCP","66","22067  >  57380 [ACK] Seq=1 Ack=2 Win=83 Len=0 SLE=1 SRE=2"
"4","1.336453800","TPLink_01:f0:9a","Broadcast","ARP","60","Who has 192.168.1.109? Tell 192.168.1.21"
"5","1.551713900","192.168.1.100","74.125.160.39","UDP","1294","50060  >  443 Len=1252"
"6","1.551757100","192.168.1.100","74.125.160.39","UDP","1294","50060  >  443 Len=1252"
"7","1.551791300","192.168.1.100","74.125.160.39","UDP","184","50060  >  443 Len=142"
"8","1.592445200","74.125.160.39","192.168.1.100","UDP","75","443  >  50060 Len=33"
"9","1.592445200","74.125.160.39","192.168.1.100","UDP","75","443  >  50060 Len=33"
"10","1.601304300","192.168.1.100","74.125.160.39","UDP","1294","50060  >  443 Len=1252"
"11","1.641393700","74.125.160.39","192.168.1.100","UDP","82","443  >  50060 Len=40"
"12","1.641503500","192.168.1.100","74.125.160.39","UDP","75","50060  >  443 Len=33"
"13","1.644793300","74.125.160.39","192.168.1.100","UDP","178","443  >  50060 Len=136"
"14","1.645045900","192.168.1.100","74.125.160.39","UDP","76","50060  >  443 Len=34"
"15","1.645514400","74.125.160.39","192.168.1.100","UDP","1289","443  >  50060 Len=1247"
"16","1.645514400","74.125.160.39","192.168.1.100","UDP","1294","443  >  50060 Len=1252"
"17","1.645561100","74.125.160.39","192.168.1.100","UDP","1294","443  >  50060 Len=1252"
"18","1.645636800","192.168.1.100","74.125.160.39","UDP","75","50060  >  443 Len=33"
"19","1.645970900","74.125.160.39","192.168.1.100","UDP","1294","443  >  50060 Len=1252"
"20","1.645970900","74.125.160.39","192.168.1.100","UDP","1187","443  >  50060 Len=1145"
"21","1.645970900","74.125.160.39","192.168.1.100","UDP","69","443  >  50060 Len=27"
"22","1.646109200","192.168.1.100","74.125.160.39","UDP","75","50060  >  443 Len=33"
"23","1.694163500","74.125.160.39","192.168.1.100","UDP","74","443  >  50060 Len=32"
"24","1.730403900","216.239.36.223","192.168.1.100","TLSv1.2","127","Application Data"
"25","1.730586000","192.168.1.100","216.239.36.223","TLSv1.2","93","Application Data"
"26","1.763572300","216.239.36.223","192.168.1.100","TCP","60","443  >  58566 [ACK] Seq=74 Ack=40 Win=1038 Len=0"
"27","1.763572300","216.239.36.223","192.168.1.100","TLSv1.2","110","Application Data"
"28","1.763572300","216.239.36.223","192.168.1.100","TCP","60","443  >  58566 [FIN, ACK] Seq=130 Ack=40 Win=1038 Len=0"
"29","1.763661400","192.168.1.100","216.239.36.223","TCP","54","58566  >  443 [ACK] Seq=40 Ack=131 Win=255 Len=0"
"30","1.763741300","192.168.1.100","216.239.36.223","TLSv1.2","78","Application Data"
"31","1.763785100","192.168.1.100","216.239.36.223","TCP","54","58566  >  443 [FIN, ACK] Seq=64 Ack=131 Win=255 Len=0"
"32","2.022295400","192.168.1.100","216.239.36.223","TCP","78","[TCP Retransmission] 58566  >  443 [FIN, PSH, ACK] Seq=40 Ack=131 Win=255 Len=24"
"33","2.053905900","216.239.36.223","192.168.1.100","TCP","60","443  >  58566 [RST] Seq=131 Win=0 Len=0"
